"Teapplix SKU",,Asin,UPC,Location,Xref3,"Unit Cost","Total Cost","Qty on Hand","Qty to Ship","Qty Available","Qty Reserve","Item Title"
105844569213,1,,,,,,0,4,0,4,,
1128841734358,1,,,,,,0,22,0,22,,
157129478509,1,,,,,,0,2,0,2,,
2111278660827,1,,,,,,0,9,0,9,,
25085037246893,1,,,,,,0,20,0,20,,
276435989948,1,,,,,,0,2,0,2,,
3204136198043,1,,,,,,0,10,0,10,,
32142356571927,1,,,,,,0,0,0,0,,
34740100069017,1,,,,,,0,23,0,23,,
35070444668883,1,,,,,,0,2,0,2,,
3903663143493,1,,,,,,0,0,0,0,,
451547898227,1,,,,,,0,9,0,9,,
454595235744,1,,,,,,0,-1,0,-1,,
48968553494616,1,,,,,,0,3,0,3,,
514915985403,1,,,,,,0,14,0,14,,
5177654177522,1,,,,,,0,24,0,24,,
5898492286950,1,,,,,,0,0,0,0,,
5958370713426,1,,,,,,0,21,0,21,,
6168680500328,1,,,,,,0,10,0,10,,
63963717716440,1,,,,,,0,1,0,1,,
66496518274,1,,,,,,0,7,0,7,,
728313526568,1,,,,,,0,15,0,15,,
79231597524,1,,,,,,0,36,0,36,,
795887401677,1,,,,,,0,2,0,2,,
7984566722342,1,,,,,,0,0,0,0,,
804112033152,1,,,,,,0,3,0,3,,
936611848189,1,,,,,,0,5,0,5,,
9902045578,1,,,,,,0,5,0,5,,
AAA-CMN-0005,1,,,,,,0,8,0,8,,
AAA-CMN-0010,1,,,,,15.77,0,0,0,0,,"Tenda A6 AP/Router Wireless"
AAA-CPS-0060,1,,,,,,0,8,0,8,,
AAA-CPS-0061,1,,,,,,0,88,0,88,,
AAA-CPS-0062,1,,,,,,0,88,0,88,,
AAA-CSE-0002-Black,1,,,,,4.35,4.35,1,0,1,,"Bluetooth Audio Receiver/Transmitter w/AUX Wire - BLACK"
AAA-CSE-0002-White,1,,,,,4.46,57.98,13,0,13,,"Bluetooth Audio Receiver/Transmitter w/AUX Wire - WHITE"
AAA-CSE-0011-RED-20,1,,,,,0,0,1,0,1,,"Lot Of 20 Car Trailer Tail LED Light Bulb Lamp 5050 36SMD 3057 3457 Red Leds"
AAA-CSE-0021,1,,,,,2.15,12.9,6,0,6,,"LED Dimmer Switch 12-24V 8A"
AAA-CSE-0023,1,,,,,0,0,0,0,0,,XOXO
AAA-CSE-0023-Blue,1,,,,"<span style=""font-size: 18pt; font-family: Impact; color: #DF3A01"">LATCHING</span>",2.94,0,0,0,0,,"Latching On/Off Switch w/Ring LED 16mm - BLUE"
AAA-CSE-0023-Green,1,,,,"<span style=""font-size: 18pt; font-family: Impact; color: #DF3A01"">LATCHING</span>",2.97,0,0,0,0,,"Latching On/Off Switch w/Ring LED 16mm - GREEN"
